a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,output
1,16,4,0,1175,0,0,2,2,0,3,2,68,2,2,3,0,1,1,0,0
3,12,2,0,1884,0,4,4,2,0,4,2,39,2,1,1,3,1,1,0,0
1,6,2,4,484,0,3,3,3,2,3,0,28,0,1,1,1,1,0,0,0
3,24,2,1,3488,1,3,3,1,0,4,2,23,2,1,1,2,1,0,0,0
0,18,4,6,1190,0,0,2,1,0,4,3,55,2,2,3,0,2,0,0,1
0,12,2,1,3386,0,4,3,2,0,4,3,35,2,2,1,2,1,1,0,1
0,48,0,3,7119,0,2,3,2,0,4,3,53,2,2,2,2,2,0,0,1
1,60,3,4,7418,4,2,1,2,0,1,0,27,2,1,1,1,1,0,0,0
0,12,4,0,2122,0,2,3,2,0,2,0,39,2,0,2,1,2,0,1,0
3,9,4,0,2134,0,2,4,2,0,4,2,48,2,1,3,2,1,1,0,0
3,5,2,9,3448,0,3,1,2,0,4,0,74,2,1,1,1,1,0,0,0
1,30,2,3,3832,0,1,2,3,0,1,1,22,2,1,1,2,1,0,0,0
1,8,2,4,1414,0,2,4,2,2,2,0,33,2,1,1,2,1,0,1,0
1,48,3,2,7582,1,0,2,2,0,4,3,31,2,2,1,3,1,1,0,0
2,42,4,1,4796,0,4,4,2,0,4,3,56,2,2,1,2,1,0,0,0
2,36,2,4,3913,0,2,2,2,0,2,0,23,2,1,1,2,1,1,0,0
1,18,2,0,6260,0,3,3,2,0,3,0,28,2,0,1,1,1,0,0,0
3,12,4,4,618,0,4,4,2,0,4,0,56,2,1,1,2,1,0,0,0
0,10,4,0,2241,0,1,1,2,0,3,0,48,2,0,2,1,2,0,1,0
3,10,4,3,2146,0,1,1,1,0,3,0,23,2,0,2,2,1,0,0,0
2,24,2,3,2892,0,4,3,0,0,4,3,51,2,2,1,2,1,0,0,0
1,48,0,9,3844,1,3,4,2,0,4,3,34,2,2,1,1,2,0,0,1
3,12,4,0,682,1,3,4,1,0,3,2,51,2,1,2,2,1,1,0,0
2,6,4,0,1343,0,4,1,2,0,4,0,46,2,1,2,2,2,0,1,0
0,12,2,4,2214,0,2,4,2,0,3,1,24,2,1,1,1,1,0,0,0
0,21,3,7,3414,0,1,2,2,0,1,1,26,2,1,2,2,1,0,0,1
3,6,4,4,700,4,4,4,2,0,4,3,36,2,2,2,2,1,0,0,0
1,24,2,0,1246,0,1,4,2,0,2,0,23,1,1,1,1,1,0,0,1
1,36,4,0,2820,0,1,4,0,0,4,2,27,2,1,2,2,1,0,0,1
3,24,2,1,7814,0,3,3,2,0,3,2,38,2,1,1,3,1,1,0,0
0,24,4,1,6419,0,4,2,1,0,4,3,44,2,2,2,3,2,1,0,0
0,18,2,5,1217,0,2,4,3,0,3,0,47,2,1,1,1,1,1,0,1
3,12,2,4,886,4,2,4,1,0,2,2,21,2,1,1,2,1,0,0,0
0,24,3,0,1333,0,0,4,2,0,2,0,43,2,2,2,2,2,0,0,1
3,6,4,4,1554,0,3,1,1,0,2,2,24,2,0,2,2,1,1,0,0
3,15,2,7,4623,1,2,3,2,0,2,1,40,2,1,1,3,1,1,0,1
0,60,2,9,7297,0,4,4,2,1,4,3,36,2,0,1,2,1,0,0,1
1,8,2,4,760,0,3,4,1,2,2,0,44,2,1,1,1,1,0,0,0
0,21,4,0,571,0,4,4,2,0,4,0,65,2,1,2,2,1,0,0,0
3,9,2,0,2507,2,4,2,2,0,4,3,51,2,2,1,1,1,0,0,0
3,12,2,3,763,0,2,4,1,0,1,0,26,2,1,1,2,1,1,0,0
1,72,2,4,5595,1,2,2,3,0,2,2,24,2,1,1,2,1,0,0,1
3,30,4,4,4530,0,3,4,1,0,4,2,26,2,0,1,3,1,1,0,0
1,18,2,9,1913,3,1,3,3,0,3,0,36,0,1,1,2,1,1,0,0
1,12,2,9,841,1,3,2,1,0,4,0,23,2,0,1,1,1,0,0,0
1,36,0,4,3804,0,2,4,1,0,1,2,42,2,1,1,2,1,1,0,1
3,12,2,4,1963,0,3,4,2,0,2,2,31,2,0,2,3,2,1,0,0
3,39,2,1,2569,2,2,4,2,0,4,2,24,2,1,1,2,1,0,0,0
3,12,2,0,2133,4,4,4,1,0,4,3,52,2,2,1,3,1,1,0,0
0,12,3,0,1344,0,2,4,2,0,2,0,43,2,1,2,1,2,0,0,0
2,30,4,4,3656,4,4,4,2,0,4,1,49,1,1,2,1,1,0,0,0
3,12,3,1,1503,0,2,4,3,0,4,0,41,2,0,1,2,1,0,0,0
0,24,1,3,3349,2,1,4,2,0,4,3,30,2,2,1,2,2,1,0,1
0,6,4,0,4716,4,1,1,2,0,3,0,44,2,1,2,1,2,0,0,0
2,6,4,0,1323,1,4,2,0,0,4,2,28,2,1,2,2,2,1,0,0
0,12,4,1,1409,0,4,4,2,0,3,0,54,2,1,1,2,1,0,0,0
3,36,2,4,3835,4,4,2,1,0,4,0,45,2,1,1,1,1,1,0,0
2,10,2,0,1240,1,4,1,1,0,4,3,48,2,2,1,1,2,0,0,1
3,12,4,3,1935,0,4,4,2,0,4,0,43,2,1,3,2,1,1,0,0
3,9,4,3,2406,0,0,2,2,0,3,2,31,2,1,1,3,1,0,0,0
3,15,4,4,1360,0,2,4,2,0,2,1,31,2,1,2,2,1,0,0,0
3,24,1,9,1559,0,3,4,2,0,4,2,50,0,1,1,2,1,1,0,0
1,48,2,0,6560,1,3,3,2,0,2,1,24,2,1,1,2,1,0,0,1
0,24,2,0,1442,0,3,4,1,0,4,2,23,2,0,2,2,1,0,0,1
0,12,4,0,3499,0,2,3,1,1,2,0,29,2,1,2,2,1,0,0,1
1,6,2,4,368,4,4,4,2,0,4,1,38,2,1,1,2,1,0,0,0
3,12,2,0,2859,4,0,4,2,0,4,3,38,2,1,1,3,1,1,0,0
3,24,4,4,1851,0,3,4,3,2,2,2,33,2,1,2,2,1,1,0,0
3,12,4,4,717,0,4,4,2,0,4,0,52,2,1,3,2,1,0,0,0
3,18,4,0,1028,0,2,4,1,0,3,0,36,2,1,2,2,1,0,0,0
1,18,2,3,3001,0,3,2,1,0,4,0,40,2,0,1,2,1,0,0,0
0,30,2,1,3857,0,2,4,0,0,4,1,40,2,1,1,3,1,1,0,0
3,24,4,0,2463,1,3,4,3,0,3,1,27,2,1,2,2,1,1,0,0
2,24,2,4,5152,0,3,4,2,0,2,2,25,0,1,1,2,1,0,0,0
0,6,2,7,448,0,1,4,1,0,4,1,23,2,1,1,2,1,0,0,1
0,6,2,1,1352,2,0,1,1,0,2,1,23,2,0,1,0,1,1,0,0
0,18,2,1,7511,4,4,1,2,0,4,1,51,2,2,1,2,2,1,0,1
1,45,4,4,4746,0,1,4,2,0,2,1,25,2,1,2,1,1,0,0,1
3,36,2,1,8133,0,2,1,1,0,2,1,30,0,1,1,2,1,0,0,0
1,39,3,7,11760,1,3,2,2,0,3,3,32,2,0,1,2,1,1,0,0
1,12,2,1,2028,4,2,4,2,0,2,2,30,2,1,1,2,1,0,0,0
0,15,2,9,806,0,2,4,1,0,4,1,22,2,1,1,1,1,0,0,0
3,24,2,4,3430,2,4,3,2,0,2,2,31,2,1,1,2,2,1,0,0
1,18,2,9,1941,3,2,4,2,0,2,1,35,2,1,1,1,1,1,0,0
1,24,2,4,2896,1,1,2,2,0,1,2,29,2,1,1,2,1,0,0,0
0,24,1,4,1546,0,3,4,2,2,4,2,24,0,0,1,1,1,0,0,1
3,15,3,4,1478,0,2,4,3,0,3,0,33,0,1,2,2,1,0,0,0
1,48,0,9,14421,0,2,2,2,0,2,2,25,2,1,1,2,1,1,0,1
1,30,2,3,3441,1,2,2,1,1,4,2,21,2,0,1,2,1,0,0,1
3,10,4,3,2069,4,2,2,3,0,1,2,26,2,1,2,2,1,0,1,0
3,27,4,3,4526,3,1,4,2,0,2,0,32,1,1,2,1,2,1,0,0
3,6,1,4,1750,2,4,2,2,0,4,1,45,0,1,1,1,2,0,0,0
1,48,0,0,8358,2,1,1,1,0,1,2,30,2,1,2,2,1,0,0,0
1,8,2,3,1237,0,2,3,1,0,4,0,24,2,1,1,2,1,0,0,1
1,24,2,4,5084,4,4,2,1,0,4,2,42,2,1,1,2,1,1,0,0
3,12,2,4,2073,1,2,4,1,1,2,0,28,2,1,1,2,1,0,0,0
3,27,3,9,5117,0,3,3,2,0,4,2,26,2,1,2,2,1,0,0,0
2,21,4,7,2319,0,1,2,0,0,1,2,33,2,0,1,2,1,0,0,1
2,21,2,0,2923,1,2,1,1,0,1,2,28,0,1,1,3,1,1,0,0
0,15,4,3,975,0,2,2,0,0,3,1,25,2,1,2,2,1,0,0,0
0,6,4,4,338,2,4,4,2,0,4,2,52,2,1,2,2,1,0,0,0
0,36,2,7,1977,4,4,4,2,0,4,3,40,2,1,1,3,1,1,0,1
1,11,2,3,1577,3,1,4,1,0,1,0,20,2,1,1,2,1,0,0,0
1,48,2,0,8487,4,3,1,1,0,2,2,24,2,1,1,2,1,0,0,0
0,24,2,3,3345,0,4,4,2,0,2,1,39,2,0,1,3,1,1,0,1
0,18,2,0,1216,0,1,4,1,0,3,2,23,2,0,1,2,1,1,0,1
3,33,3,9,2764,0,2,2,1,0,2,2,26,2,1,2,2,1,1,0,0
3,18,0,9,4165,0,2,2,2,0,2,2,36,1,1,2,2,2,0,0,1
2,30,4,4,3017,0,4,4,2,0,4,1,47,2,1,1,2,1,0,0,0
0,24,1,3,3552,0,3,3,2,0,4,2,27,0,1,1,2,1,0,0,1
2,15,2,7,392,0,1,4,1,0,4,1,23,2,0,1,2,1,1,0,0
3,11,2,9,2142,3,4,1,0,0,2,0,28,2,1,1,2,1,1,0,0
3,15,2,5,874,4,1,4,1,0,1,0,24,2,1,1,2,1,0,0,0
0,24,2,4,3660,0,2,2,1,0,4,2,28,2,1,1,2,1,0,0,0
3,24,4,6,2058,0,2,4,0,0,2,0,33,2,1,2,2,1,1,0,0
3,36,2,4,2394,4,2,4,1,0,4,2,25,2,1,1,2,1,0,0,0
3,27,3,1,8613,3,2,2,2,0,2,2,27,2,1,2,2,1,0,0,0
0,12,2,3,1282,0,2,2,1,0,4,2,20,2,0,1,2,1,0,0,1
3,24,2,0,7393,0,2,1,2,0,4,1,43,2,1,1,1,2,0,0,0
1,21,2,9,2767,1,4,4,0,0,2,2,61,0,0,2,1,1,0,0,1
3,24,3,9,3863,0,2,1,2,0,2,3,32,2,2,1,2,1,0,0,0
1,24,4,1,7758,3,4,2,1,0,4,3,29,2,0,1,2,1,0,0,0
0,12,2,3,708,0,2,2,2,2,3,1,38,2,1,1,1,2,0,0,0
0,12,2,3,1289,0,2,4,2,2,1,1,21,2,1,1,1,1,0,0,0
1,36,3,0,7432,0,2,2,1,0,2,1,54,2,0,1,2,1,0,0,0
0,48,2,4,6758,0,2,3,1,0,2,2,31,2,1,1,2,1,1,0,1
3,11,4,4,1154,1,0,4,1,0,4,0,57,2,1,3,1,1,0,0,0
3,12,4,7,2096,0,3,2,2,0,3,0,49,2,1,1,1,2,0,0,0
1,14,2,9,1410,2,4,1,3,0,2,0,35,2,1,1,2,1,1,0,0
3,6,0,4,426,0,4,4,3,0,4,2,39,2,1,1,1,1,0,0,0
0,9,4,0,2799,0,2,2,2,0,2,0,36,2,0,2,2,2,0,0,0
3,12,2,4,3077,0,2,2,2,0,4,2,52,2,1,1,2,1,1,0,0
0,45,2,4,1845,0,2,4,2,0,4,3,23,2,2,1,2,1,1,0,1
1,18,2,1,2779,0,2,1,3,0,3,2,21,2,0,1,2,1,1,0,0
0,24,1,3,6872,0,1,2,0,0,1,1,55,0,1,1,2,1,1,0,1
0,36,2,0,3249,0,3,2,2,0,4,3,39,0,2,1,3,2,1,0,0
3,24,3,9,8648,0,1,2,2,0,2,2,27,0,1,2,2,1,1,0,1
0,18,1,3,1553,0,2,4,2,0,3,2,44,0,1,1,2,1,0,0,1
1,18,0,3,3244,0,2,1,1,0,4,2,33,0,1,2,2,1,1,0,0
1,9,2,4,1206,0,4,4,1,0,4,0,25,2,1,1,2,1,0,0,0
1,27,2,9,3915,0,2,4,2,0,2,2,36,2,1,1,2,2,1,0,1
0,48,0,1,4605,0,4,3,2,0,4,3,24,2,2,2,2,2,0,0,1
0,18,0,9,3104,0,3,3,2,0,1,1,31,0,1,1,2,1,1,0,0
1,18,4,9,3590,0,0,3,3,0,3,2,40,2,1,3,0,2,1,0,0
1,18,3,3,4297,0,4,4,0,0,3,3,40,2,1,1,3,1,1,0,1
0,6,4,4,1169,4,4,4,2,0,4,0,67,2,1,2,2,1,1,0,0
3,7,4,4,730,4,4,4,2,0,2,1,46,2,0,2,1,1,1,0,0
3,60,3,4,15653,0,3,2,2,0,4,2,21,2,1,2,2,1,1,0,0
0,18,2,4,3509,0,3,4,1,2,1,0,25,2,1,1,2,1,0,0,0
1,21,4,3,2745,3,3,3,2,0,2,2,32,2,1,2,2,1,1,0,0
3,10,4,0,1231,0,4,3,2,0,4,0,32,2,1,2,1,2,0,1,0
0,18,2,4,1882,0,2,4,1,0,4,2,25,0,0,2,2,1,0,0,1
1,12,4,4,3573,0,2,1,1,0,1,0,23,2,1,1,1,1,0,0,0
1,60,2,0,14027,0,3,4,2,0,2,3,27,2,1,1,3,1,1,0,1
3,36,4,1,10477,4,4,2,2,0,4,3,42,2,2,2,2,1,0,0,0
0,48,4,1,6143,0,4,4,1,0,4,3,58,1,2,2,1,1,0,0,1
1,24,2,3,4057,0,3,3,0,0,3,2,43,2,1,1,2,1,1,0,1
0,36,2,4,2302,0,2,4,0,0,4,2,31,2,0,1,2,1,0,0,1
2,36,2,4,4473,0,4,4,2,0,2,2,31,2,1,1,2,1,0,0,0
3,6,2,0,3518,0,2,2,2,2,3,1,26,2,0,1,2,1,0,0,0
3,6,2,4,1346,1,4,2,2,0,4,3,42,0,2,1,2,2,1,0,0
1,12,2,4,766,2,2,4,2,0,3,0,66,2,1,1,1,1,0,0,1
3,30,3,9,4272,1,2,2,2,0,2,1,26,2,1,2,1,1,0,0,0
3,12,4,7,701,0,2,4,2,0,2,2,32,2,1,2,2,1,0,0,0
3,6,2,3,2978,2,2,1,2,0,2,2,32,2,1,1,2,1,1,0,0
0,48,2,1,4788,0,3,4,2,0,3,1,26,2,1,1,2,2,0,0,0
0,6,2,3,428,0,4,2,1,0,1,1,49,0,1,1,2,1,1,0,0
3,36,3,4,4454,0,2,4,1,0,4,0,34,2,1,2,2,1,0,0,0
3,48,3,4,7238,4,4,3,2,0,3,2,32,0,1,2,2,2,0,0,0
3,18,4,3,3780,0,1,3,0,0,2,2,35,2,1,2,3,1,1,0,0
3,12,2,0,1101,0,2,3,3,0,2,0,27,2,1,2,2,1,1,0,0
1,12,2,3,1922,0,2,4,2,0,2,1,37,2,1,1,1,1,0,0,1
3,48,4,0,10127,2,2,2,2,0,2,3,44,0,2,1,2,1,0,0,1
0,30,4,1,10623,0,4,3,2,0,4,3,38,2,2,3,3,2,1,0,0
3,18,2,4,433,0,0,3,1,1,4,0,22,2,0,1,2,1,0,0,1
0,36,1,3,2746,0,4,4,2,0,4,2,31,0,1,1,2,1,0,0,1
3,48,4,7,6110,0,2,1,2,0,3,3,31,0,2,1,2,1,1,0,0
1,9,2,0,3195,4,2,1,1,0,2,0,33,2,1,1,1,1,0,0,0
0,12,2,0,3651,3,2,1,2,0,3,1,31,2,1,1,2,2,0,0,0
0,24,2,0,3123,0,1,4,1,0,1,1,27,2,1,1,2,1,0,0,1
0,33,4,3,4281,2,2,1,1,0,4,2,23,2,1,2,2,1,0,0,1
1,12,2,0,7472,4,0,1,1,0,2,0,24,2,0,1,0,1,0,0,0
0,18,1,4,1940,0,1,3,2,1,4,3,36,0,2,1,3,1,1,0,0
0,24,2,1,6579,0,0,4,2,0,2,3,29,2,2,1,3,1,1,0,0
0,6,4,3,1872,0,0,4,2,0,4,3,36,2,2,3,3,1,1,0,0
3,24,4,3,1585,0,3,4,2,0,3,1,40,2,1,2,2,1,0,0,0
0,24,4,9,1382,1,3,4,2,0,1,0,26,2,1,2,2,1,1,0,0
3,18,4,4,6070,0,4,3,2,0,4,2,33,2,1,2,2,1,1,0,0
1,24,4,4,1743,0,4,4,2,0,2,1,48,2,1,2,1,1,0,0,0
3,6,4,4,1382,0,2,1,1,0,1,2,28,2,1,2,2,1,1,0,0
0,12,2,8,902,0,3,4,3,0,4,1,21,2,0,1,2,1,0,0,1
3,24,2,4,999,4,4,4,2,0,2,2,25,2,1,2,2,1,0,0,0
1,30,0,9,4280,1,2,4,1,0,4,2,26,2,0,2,1,1,0,0,1
1,9,2,0,276,0,2,4,3,0,4,0,22,2,0,1,1,1,0,0,0
2,12,2,4,1297,0,2,3,3,0,4,0,23,2,0,1,2,1,0,0,0
1,24,1,7,1837,0,3,4,1,0,4,3,34,0,2,1,1,1,0,0,1
0,18,4,3,1049,0,1,4,1,0,4,1,21,2,0,1,2,1,0,0,0
3,9,2,3,1388,0,2,4,1,0,2,0,26,2,0,1,2,1,0,0,0
0,12,2,5,741,1,0,4,1,0,3,1,22,2,1,1,2,1,0,0,1
0,18,2,3,2039,0,2,1,1,0,4,0,20,0,0,1,2,1,0,0,1
0,36,4,3,5371,0,2,3,2,2,2,1,28,2,1,2,2,1,0,0,0
0,12,2,7,795,0,1,4,1,0,4,1,53,2,1,1,2,1,0,0,1
3,10,2,0,1418,1,2,3,2,0,2,0,35,2,0,1,1,1,0,1,0
3,21,3,9,2580,2,1,4,2,0,2,0,41,0,1,1,1,2,0,0,1
3,24,2,4,3105,4,1,4,2,0,2,2,25,2,1,2,2,1,0,0,0
0,12,2,0,1274,0,1,3,1,0,1,0,37,2,1,1,1,1,0,0,1
0,24,2,1,2812,4,4,2,1,0,4,0,26,2,0,1,2,1,0,0,0
3,60,4,0,13756,4,4,2,2,0,4,3,63,0,2,1,3,1,1,0,0
3,6,4,4,1740,0,4,2,3,0,2,0,30,2,0,2,2,1,0,0,0
3,12,4,9,1412,0,2,4,1,2,2,0,29,2,1,2,3,1,1,0,0
1,9,4,4,1154,0,4,2,2,0,4,0,37,2,1,3,1,1,0,0,0
3,24,4,4,5103,0,1,3,3,0,3,3,47,2,2,3,2,1,1,0,0
1,6,2,4,1068,0,4,4,2,0,4,2,28,2,1,1,2,2,0,0,0
1,18,4,3,1928,0,1,2,2,0,2,0,31,2,1,2,1,1,0,0,1
3,6,2,7,1538,0,1,1,1,0,2,3,56,2,1,1,2,1,0,0,0
3,6,4,3,1221,4,2,1,3,0,2,1,27,2,1,2,2,1,0,0,0
0,24,2,3,4169,0,2,4,2,0,4,1,28,2,1,1,2,1,0,0,0
0,15,2,0,1403,0,2,2,1,0,4,2,28,2,0,1,2,1,0,0,0
2,12,1,9,609,0,1,4,1,0,1,0,26,2,1,1,0,1,0,0,1
3,9,2,3,2301,1,1,2,1,0,4,1,22,2,0,1,2,1,0,0,0
0,6,4,0,609,0,3,4,1,0,3,1,37,2,1,2,2,1,0,1,0
0,18,2,3,2473,0,0,4,2,0,1,2,25,2,1,1,0,1,0,0,1
3,36,2,0,3079,4,2,4,2,0,4,0,36,2,1,1,2,1,0,0,0
1,9,4,7,1136,3,4,4,2,0,3,3,32,2,2,2,2,2,0,0,1
0,24,1,0,2325,1,3,2,2,0,3,2,32,0,1,1,2,1,0,0,0
3,12,2,4,804,0,4,4,2,0,4,2,38,2,1,1,2,1,0,0,0
1,12,4,3,3617,0,4,1,2,0,4,2,28,2,0,3,2,1,1,0,0
0,24,2,9,6568,0,2,2,3,0,2,2,21,1,1,1,1,1,0,0,0
3,12,2,1,1413,3,3,3,2,0,2,1,55,2,1,1,2,1,0,1,0
0,11,4,0,3939,0,2,1,2,0,2,0,40,2,1,2,1,2,0,0,0
1,24,2,2,11328,0,2,2,2,1,3,2,29,0,1,2,3,1,1,0,1
3,36,0,6,2613,0,2,4,2,0,2,2,27,2,1,2,2,1,0,0,0
3,9,2,4,2697,0,2,1,2,0,2,0,32,2,1,1,2,2,0,0,0
3,11,4,0,7228,0,2,1,2,0,4,1,39,2,1,2,1,1,0,0,0
0,12,1,0,697,0,1,4,2,0,2,2,46,0,1,2,2,1,1,0,1
3,48,2,9,4844,0,0,3,2,0,2,2,33,0,0,1,3,1,1,0,1
3,18,4,4,1800,0,2,4,2,0,2,2,24,2,1,2,2,1,0,0,0
3,36,3,9,9572,0,1,1,0,0,1,2,28,2,1,2,2,1,0,0,1
3,24,4,4,2684,0,2,4,2,0,2,0,35,2,1,2,1,1,0,0,0
2,12,1,4,409,3,2,3,1,0,3,0,42,2,0,2,2,1,0,0,0
0,9,2,4,1366,0,1,3,1,0,4,1,22,2,0,1,2,1,0,0,1
0,24,2,0,4817,0,3,2,2,1,3,1,31,2,1,1,2,1,1,0,1
3,24,4,7,1927,4,2,3,1,0,2,2,33,2,1,2,2,1,1,0,0
1,18,2,9,2622,1,2,4,2,0,4,2,34,2,1,1,2,1,0,0,0
1,24,2,1,2760,4,4,4,2,0,4,3,36,0,2,1,2,1,1,0,0
3,24,2,4,1376,2,3,4,1,0,1,2,28,2,1,1,2,1,0,0,0
0,39,4,3,14179,4,3,4,2,0,4,1,30,2,1,2,3,1,1,0,0
1,18,2,0,1042,4,2,4,1,0,2,1,33,2,1,1,2,1,0,0,1
1,15,2,4,802,0,4,4,2,0,3,2,37,2,1,1,2,2,0,0,1
0,48,2,9,4308,0,1,3,1,0,4,1,24,2,0,1,2,1,0,0,1
3,18,4,1,3850,0,3,3,2,0,1,2,27,2,1,2,2,1,0,0,0
3,18,2,0,2662,4,3,4,2,0,3,1,32,2,1,1,2,1,0,1,0
0,15,2,0,3959,0,2,3,1,0,2,1,29,2,1,1,2,1,1,0,1
3,48,4,1,11590,1,2,2,1,0,4,2,24,0,0,2,1,1,0,0,1
0,6,2,0,14896,0,4,1,2,0,4,3,68,0,1,1,3,1,1,0,1
0,12,2,4,1498,0,2,4,1,0,1,2,23,0,1,1,2,1,0,0,0
1,7,2,4,2329,0,1,1,1,2,1,0,45,2,1,1,2,1,0,0,0
3,18,2,4,4594,0,1,3,2,0,2,2,32,2,1,1,2,1,1,0,0
0,36,2,1,5493,0,4,2,2,0,4,3,42,2,2,1,2,2,0,0,0
1,9,2,4,790,2,2,4,1,0,3,0,66,2,1,1,1,1,0,0,0
2,24,4,9,1275,3,2,2,0,0,4,0,36,2,1,2,2,1,1,0,0
1,48,1,9,6416,0,4,4,1,0,3,3,59,2,0,1,2,1,0,0,1
3,12,4,3,1402,2,3,3,1,0,4,2,37,2,0,1,2,1,1,0,0
3,15,3,3,960,3,3,3,1,0,2,1,30,2,1,2,2,1,0,0,0
0,8,4,0,731,0,4,4,2,0,4,0,47,2,1,2,1,1,0,0,0
3,12,3,6,1555,3,4,4,2,0,4,3,55,2,2,2,2,2,0,0,1
3,24,2,4,1552,0,3,3,2,0,1,2,32,0,1,1,2,2,0,0,0
0,18,1,0,1442,0,3,4,2,0,4,3,32,2,2,2,1,2,0,0,1
3,4,4,0,3380,0,3,1,1,0,1,0,37,2,1,1,2,2,0,0,0
3,36,4,0,6614,0,4,4,2,0,4,2,34,2,1,2,3,1,1,0,0
0,12,2,0,900,4,2,4,3,0,2,2,23,2,1,1,2,1,0,0,1
3,33,4,1,7253,0,3,3,2,0,2,2,35,2,1,2,3,1,1,0,0
1,36,2,3,9034,1,1,4,2,1,1,3,29,2,0,1,3,1,1,0,1
3,15,2,0,3186,3,3,2,1,0,3,2,20,2,0,1,2,1,0,0,0
0,20,4,3,4272,0,4,1,1,0,4,1,24,2,1,2,2,1,0,0,0
0,18,4,3,2124,0,2,4,1,0,4,0,24,2,0,2,2,1,0,0,1
0,6,2,4,2647,2,2,2,2,0,3,0,44,2,0,1,2,2,0,0,0
1,24,4,9,1935,0,4,4,0,0,4,0,31,2,1,2,2,1,1,0,1
3,12,2,4,776,0,2,4,3,0,2,0,28,2,1,1,2,1,0,0,0
3,9,2,4,2753,1,4,3,2,1,4,2,35,2,1,1,2,1,1,0,0
1,12,2,4,1484,4,2,2,3,0,1,0,25,2,1,1,2,1,1,0,1
1,9,2,3,918,0,2,4,1,0,1,1,30,2,1,1,2,1,0,0,1
0,24,2,4,1603,0,4,4,1,0,4,2,55,2,1,1,2,1,0,0,0
2,12,2,4,3399,4,4,2,2,0,3,2,37,2,1,1,3,1,0,0,0
3,10,2,0,1309,4,2,4,2,2,4,1,27,2,1,1,1,1,0,0,1
3,6,3,4,932,0,2,3,1,0,2,0,24,2,1,1,2,1,0,0,0
3,7,3,4,846,4,4,3,2,0,4,3,36,2,2,1,2,1,0,0,0
3,36,2,4,2299,2,4,4,2,0,4,2,39,2,1,1,2,1,0,0,0
3,10,2,0,1546,0,2,3,2,0,2,0,31,2,1,1,1,2,0,1,0
0,12,2,7,1200,4,2,4,1,0,4,1,23,0,0,1,2,1,1,0,0
1,12,2,3,3017,0,1,3,1,0,1,0,34,2,0,1,3,1,0,0,0
2,18,2,3,2864,0,2,2,2,0,1,0,34,2,1,1,1,2,0,0,1
0,12,4,0,691,0,4,4,2,0,3,1,35,2,1,2,2,1,0,0,1
1,18,2,4,3213,2,1,1,3,0,3,0,25,2,0,1,2,1,0,0,0
0,18,2,4,2600,0,2,4,2,0,4,3,65,2,2,2,2,1,0,0,1
1,36,2,7,3711,4,2,2,3,0,2,2,27,2,1,1,2,1,0,0,0
1,7,2,4,2576,0,2,2,2,2,2,0,35,2,1,1,2,1,0,0,0
1,11,3,4,4771,0,3,2,2,0,4,1,51,2,1,1,2,1,0,0,0
1,9,4,7,1501,0,4,2,1,0,3,2,34,2,1,2,3,1,1,0,1
2,10,4,0,781,0,4,4,2,0,4,3,63,2,2,2,2,1,1,0,0
0,24,2,3,3234,0,1,4,1,0,4,0,23,2,0,1,1,1,1,0,1
1,12,2,0,836,1,1,4,1,0,2,1,23,0,1,1,1,1,0,0,1
1,36,2,1,6948,0,2,2,2,0,2,2,35,2,0,1,3,1,1,0,0
3,18,4,0,1530,0,2,3,2,0,2,1,32,0,1,2,2,1,0,0,1
3,6,2,3,1543,3,2,4,0,0,2,0,33,2,1,1,2,1,0,0,0
0,12,0,0,1082,0,2,4,2,0,4,2,48,0,1,2,2,1,0,0,1
3,12,2,0,640,0,2,4,0,0,2,0,49,2,1,1,1,1,0,0,0
3,15,2,4,3568,0,4,4,1,0,2,2,54,0,0,1,3,1,1,0,0
1,18,2,4,1113,0,2,4,1,2,4,0,26,2,1,1,1,2,0,0,0
1,30,2,4,1715,4,2,4,1,0,1,2,26,2,1,1,2,1,0,0,0
1,12,2,3,983,3,1,1,1,0,4,0,19,2,0,1,1,1,0,0,0
2,6,4,7,1047,0,2,2,1,0,4,1,50,2,1,1,1,1,0,0,0
3,9,4,4,3074,4,2,1,2,0,2,0,33,2,1,2,2,2,0,0,0
1,48,2,4,5951,0,2,2,1,0,2,0,22,2,1,1,2,1,0,0,1
1,24,4,9,2825,4,3,4,2,0,3,3,34,2,1,2,2,2,1,0,0
1,36,2,4,2671,1,2,4,1,1,4,3,50,2,2,1,2,1,0,0,1
0,48,1,9,7685,0,3,2,1,2,4,2,37,2,0,1,2,1,0,0,1
3,12,2,0,1386,2,2,2,1,0,2,1,26,2,1,1,2,1,0,0,1
3,12,4,4,797,4,4,4,1,0,3,1,33,0,1,1,1,2,0,0,1
2,6,3,4,683,0,1,2,1,0,1,1,29,0,1,1,2,1,0,0,0
2,12,4,0,1480,2,0,2,2,0,4,3,66,0,2,3,0,1,0,0,0
3,6,2,4,518,0,2,3,1,0,1,0,29,2,1,1,2,1,0,0,0
3,15,2,0,5324,2,4,1,1,0,4,3,35,2,2,1,2,1,0,0,0
0,12,2,0,1168,0,2,4,3,0,3,0,27,2,1,1,1,1,0,0,0
2,9,2,4,745,0,2,3,1,0,2,0,28,2,1,1,1,1,0,0,1
